5.363,38.987,12.000
15.404,38.956,12.000
25.447,38.956,12.000
35.487,38.965,12.000
45.539,38.999,12.000
55.582,38.939,24.000
65.628,38.912,24.000
75.672,39.902,36.000
85.718,39.945,36.000
95.757,45.249,36.000
105.796,45.279,48.000
115.841,51.556,48.000
125.886,51.632,60.000
135.927,51.707,60.000
145.972,65.917,60.000
156.016,68.042,72.000
166.062,71.702,72.000
176.106,73.080,84.000
186.145,73.898,84.000
196.188,78.582,96.000
206.225,81.013,96.000
216.269,86.954,96.000
226.311,87.307,108.000
236.355,95.580,108.000
246.393,96.547,120.000
256.428,100.083,120.000
266.466,107.128,120.000
276.506,107.488,132.000
286.548,107.732,132.000
296.589,113.583,144.000
306.642,115.486,144.000
316.682,120.201,156.000
326.725,130.475,156.000
336.768,130.868,156.000
346.804,131.329,168.000
356.847,133.132,168.000
366.886,145.290,180.000
376.931,146.640,180.000
386.974,152.757,192.000
397.014,153.406,192.000
407.056,153.905,192.000
417.098,164.074,204.000
427.140,165.078,204.000
437.177,167.797,216.000
447.216,167.886,216.000
457.256,173.626,216.000
467.293,182.186,228.000
477.329,188.963,228.000
487.365,189.471,240.000
497.409,196.442,240.000
507.450,203.418,252.000
517.491,204.001,252.000
527.521,204.929,252.000
537.561,205.728,264.000
547.600,206.995,264.000
557.639,222.198,276.000
567.681,223.098,276.000
577.719,223.597,276.000
587.757,229.176,288.000
597.808,236.835,288.000
607.841,237.889,300.000
617.881,239.259,300.000
627.920,239.542,288.000
637.960,252.814,288.000
647.995,254.727,288.000
658.031,255.458,276.000
668.063,255.526,276.000
678.096,257.482,264.000
688.133,258.701,264.000
698.171,260.139,264.000
708.207,260.774,252.000
718.245,260.847,252.000
728.281,261.422,240.000
738.316,262.189,240.000
748.352,263.680,228.000
758.389,265.917,228.000
768.420,266.756,228.000
778.456,267.208,216.000
788.490,268.051,216.000
798.527,268.543,204.000
808.562,269.121,204.000
818.598,270.203,192.000
828.631,270.748,192.000
838.665,270.592,192.000
848.696,270.908,180.000
858.731,271.092,180.000
868.768,271.594,168.000
878.801,271.911,168.000
888.839,272.038,168.000
898.872,272.063,156.000
908.908,271.628,156.000
918.939,271.762,144.000
928.972,272.052,144.000
939.028,272.095,132.000
949.064,271.856,132.000
959.103,271.920,132.000
969.140,272.001,120.000
979.178,272.038,120.000
989.217,272.139,108.000
999.257,271.934,108.000
1009.289,271.476,108.000
1019.322,271.216,96.000
1029.359,270.826,96.000
1039.393,269.888,84.000
1049.431,269.112,84.000
1059.468,268.869,72.000
1069.505,268.378,72.000
1079.542,267.900,72.000
1089.579,266.891,60.000
1099.611,265.280,60.000
1109.649,264.830,48.000
1119.694,264.318,48.000
1129.733,264.318,48.000
1139.774,263.013,36.000
1149.811,259.680,36.000
1159.850,258.481,24.000
1169.889,257.822,24.000
1179.922,257.822,12.000
1189.961,255.716,12.000
1200.000,254.491,12.000
